State,ERA,TOT_REVENUE,TOT_EXPENDITURE,GRADES_ALL_G,FIPS,Percentage
MICHIGAN,1998,14712250.0,14905765.0,1720287.0,26.0,0.11627846072459289
MINNESOTA,1998,6672384.0,6815289.0,856455.0,27.0,0.23383271481186296
MISSISSIPPI,1998,2400660.0,2543454.0,502379.0,28.0,0.3992957366486737
MISSOURI,1998,5990499.0,5849648.0,913494.0,29.0,0.21920008425708945
MONTANA,1998,1035636.0,1007146.0,159988.0,30.0,1.2646370023419204
NEBRASKA,1998,2062836.0,1966403.0,291140.0,31.0,0.6910099535868189
NEVADA,1998,1906860.0,2030065.0,311061.0,32.0,0.646470137156502
PENNSYLVANIA,1998,15671363.0,16432921.0,1816414.0,42.0,0.11011807656017142
TENNESSEE,1998,4757639.0,4988208.0,905454.0,47.0,0.22115078100095634
TEXAS,1998,24485263.0,25723965.0,3945367.0,48.0,0.05066733546873244
VERMONT,1998,1089658.0,1064388.0,105120.0,50.0,1.9375109094082736
VIRGINIA,1998,7723744.0,7813707.0,1124022.0,51.0,0.1780710573035871
WASHINGTON,1998,6928738.0,7211601.0,998053.0,53.0,0.20059133280792726
WISCONSIN,1998,7083655.0,7532110.0,879542.0,55.0,0.22768089121457158
WYOMING,1998,703280.0,706801.0,95241.0,56.0,2.142788198577909
CALIFORNIA,1999,41393435.0,40834643.0,6038590.0,6.0,0.03311471656767868
COLORADO,1999,4740254.0,5040224.0,708109.0,8.0,0.2831003667983742
CONNECTICUT,1999,5460213.0,5269517.0,553993.0,9.0,0.36214161748134943
DELAWARE,1999,1004472.0,960335.0,112836.0,10.0,1.8035493562618983
FLORIDA,1999,17093036.0,16156822.0,2381396.0,12.0,0.0840128822554622
GEORGIA,1999,10380164.0,10106670.0,1422762.0,13.0,0.1406990469205631
HAWAII,1999,1328572.0,1357649.0,185860.0,15.0,1.087234378144359
KANSAS,1999,3390596.0,3189867.0,472188.0,20.0,0.425148185091527
KENTUCKY,1999,4188131.0,4305678.0,648180.0,21.0,0.3093560472994409
LOUISIANA,1999,4641847.0,4702496.0,756579.0,22.0,0.26491558217816535
MAINE,1999,1708133.0,1699835.0,209253.0,23.0,0.9645169695156667
MARYLAND,1999,6850334.0,6892276.0,846582.0,24.0,0.23668484920960994
MASSACHUSETTS,1999,8388120.0,8673439.0,971425.0,25.0,0.20620449626892615
MICHIGAN,1999,15248112.0,15837858.0,1725639.0,26.0,0.11597549372258707
MINNESOTA,1999,6949149.0,7450965.0,854034.0,27.0,0.2346147752146332
MISSISSIPPI,1999,2532681.0,2811852.0,500716.0,28.0,0.4008285259977101
MISSOURI,1999,6238901.0,6228001.0,914110.0,29.0,0.21916192217833136
MONTANA,1999,1049369.0,1026263.0,157556.0,30.0,1.2850594958761097
NEBRASKA,1999,2212104.0,2062226.0,288261.0,31.0,0.6983113371666515
NEVADA,1999,2089048.0,2298474.0,325610.0,32.0,0.6177169502890817
PENNSYLVANIA,1999,16361921.0,17113809.0,1816716.0,42.0,0.11015491671704183
TENNESSEE,1999,5059587.0,5446555.0,916202.0,47.0,0.21866040693368977
TEXAS,1999,26096023.0,27883593.0,3991783.0,48.0,0.050102962967418785
VERMONT,1999,1147600.0,1129982.0,104559.0,50.0,1.9491029641185647
VIRGINIA,1999,8331336.0,8335873.0,1133994.0,51.0,0.17659088600214665
WASHINGTON,1999,7288143.0,7489129.0,1003714.0,53.0,0.1995577584442681
WISCONSIN,1999,7415243.0,7875805.0,877753.0,55.0,0.22826044756860944
WYOMING,1999,780875.0,739019.0,92105.0,56.0,2.2184982132155464
CALIFORNIA,2000,46628207.0,45829753.0,6140814.0,6.0,0.03257958296179034
COLORADO,2000,5073266.0,5444193.0,724508.0,8.0,0.27681354393307755
CONNECTICUT,2000,5884078.0,5605280.0,562179.0,9.0,0.3570287354577733
DELAWARE,2000,1098555.0,1040480.0,114676.0,10.0,1.7750008875004437
FLORIDA,2000,17558787.0,17180954.0,2434821.0,12.0,0.08220908977684754
GEORGIA,2000,11197766.0,10884510.0,1444937.0,13.0,0.13860619001383984
HAWAII,2000,1404895.0,1363511.0,184360.0,15.0,1.0967317394165388
KANSAS,2000,3518271.0,3327090.0,470610.0,20.0,0.4267941358485734
KENTUCKY,2000,4330089.0,4510972.0,665850.0,21.0,0.30127287790916624
LOUISIANA,2000,4785331.0,4807097.0,743089.0,22.0,0.2698731191530302
MAINE,2000,1792390.0,1842276.0,207037.0,23.0,0.9754337022098449
MARYLAND,2000,7419047.0,7355698.0,852920.0,24.0,0.2350397217129695
MASSACHUSETTS,2000,9464271.0,9466363.0,975150.0,25.0,0.20551816266762574
MICHIGAN,2000,15939477.0,16580526.0,1720626.0,26.0,0.11637203207678691
MINNESOTA,2000,7344747.0,7736391.0,854340.0,27.0,0.23464814510641294
MISSISSIPPI,2000,2743284.0,2996474.0,497871.0,28.0,0.40333070496157264
MISSOURI,2000,6675260.0,6708608.0,912744.0,29.0,0.21960067812689404
MONTANA,2000,1104935.0,1051768.0,154875.0,30.0,1.3082583810302535
NEBRASKA,2000,2263952.0,2165529.0,286199.0,31.0,0.7037322439558197
NEVADA,2000,2252416.0,2437438.0,340706.0,32.0,0.5904826014301489
PENNSYLVANIA,2000,17090654.0,17861852.0,1814311.0,42.0,0.11035633508818297
TENNESSEE,2000,5338531.0,5805181.0,909161.0,47.0,0.2204680315842502
TEXAS,2000,28918934.0,31067935.0,4059619.0,48.0,0.049289990016312527
VERMONT,2000,1211370.0,1193813.0,102049.0,50.0,1.9990204799648172
VIRGINIA,2000,8911426.0,9154676.0,1144915.0,51.0,0.17499114107348315
WASHINGTON,2000,7620930.0,7811937.0,1004770.0,53.0,0.19944753034095555
WISCONSIN,2000,7848352.0,8183251.0,879476.0,55.0,0.2279264618063628
WYOMING,2000,787323.0,769923.0,89940.0,56.0,2.274277916761428
CALIFORNIA,2001,53288943.0,52082540.0,6247726.0,6.0,0.03203791393313026
COLORADO,2001,5372784.0,5727966.0,742145.0,8.0,0.2703527962126289
CONNECTICUT,2001,6331569.0,5987680.0,570228.0,9.0,0.35214799719126333
DELAWARE,2001,1153831.0,1175717.0,115560.0,10.0,1.7620796238078884
FLORIDA,2001,18467090.0,18389394.0,2500478.0,12.0,0.0800887900909234
GEORGIA,2001,12271962.0,11853800.0,1470634.0,13.0,0.13624915142176433
HAWAII,2001,1682332.0,1363164.0,184546.0,15.0,1.09616806814758
KANSAS,2001,3681845.0,3491029.0,470205.0,20.0,0.4273778096727068
KENTUCKY,2001,4536133.0,4350588.0,654363.0,21.0,0.3067315386242607
LOUISIANA,2001,4982369.0,4939894.0,731328.0,22.0,0.2743625287422514
MAINE,2001,1914551.0,1958646.0,205586.0,23.0,0.9828818429648549
MARYLAND,2001,7864290.0,7981362.0,860640.0,24.0,0.23304322305415898
MASSACHUSETTS,2001,10613329.0,10572138.0,973140.0,25.0,0.20604671421907678
MICHIGAN,2001,16772419.0,17573761.0,1730668.0,26.0,0.11575393062978584
MINNESOTA,2001,7836617.0,8221636.0,851384.0,27.0,0.23558277008134137
MISSISSIPPI,2001,2823151.0,2930393.0,493507.0,28.0,0.40711608810472305
MISSOURI,2001,7081783.0,7100685.0,909792.0,29.0,0.2204251859734234
MONTANA,2001,1139959.0,1129098.0,151947.0,30.0,1.3344804129486616
NEBRASKA,2001,2355374.0,2344564.0,285095.0,31.0,0.7068323595696129
NEVADA,2001,2381897.0,2692840.0,356814.0,32.0,0.5639590432143129
PENNSYLVANIA,2001,17792997.0,18666522.0,1821627.0,42.0,0.10996765269346558
TENNESSEE,2001,5560822.0,6165661.0,924899.0,47.0,0.21681702636694414
TEXAS,2001,30868844.0,33201450.0,4163447.0,48.0,0.04808424763892166
VERMONT,2001,1300273.0,1306513.0,101179.0,50.0,2.017584544959568
VIRGINIA,2001,9493862.0,9862715.0,1163091.0,51.0,0.17233806164896778
WASHINGTON,2001,7936037.0,8026334.0,1009200.0,53.0,0.19866977628055627
WISCONSIN,2001,8363904.0,8574804.0,879361.0,55.0,0.228070575362451
WYOMING,2001,804297.0,787949.0,88128.0,56.0,2.323313246717057
CALIFORNIA,2002,54727056.0,56464225.0,6353667.0,6.0,0.031519294547177786
COLORADO,2002,5849588.0,6237142.0,751862.0,8.0,0.2669831701917691
CONNECTICUT,2002,6644334.0,6475918.0,570023.0,9.0,0.35245175794556893
DELAWARE,2002,1180255.0,1246284.0,116342.0,10.0,1.7509183138009445
FLORIDA,2002,18541689.0,19051049.0,2539929.0,12.0,0.07888327757260158
GEORGIA,2002,13042229.0,12690343.0,1496012.0,13.0,0.13400178044323666
HAWAII,2002,1889600.0,1436637.0,183829.0,15.0,1.1010465992399368
KANSAS,2002,3823261.0,3690815.0,470957.0,20.0,0.4269066328325745
KENTUCKY,2002,4621025.0,4541670.0,660782.0,21.0,0.30389507878199096
LOUISIANA,2002,5229238.0,5298267.0,730464.0,22.0,0.2748255914515788
MAINE,2002,2041986.0,2057022.0,204337.0,23.0,0.989448192354264
MARYLAND,2002,8430663.0,8568446.0,866743.0,24.0,0.23151440720400673
MASSACHUSETTS,2002,11217085.0,11507438.0,982989.0,25.0,0.20408017639377482
MICHIGAN,2002,18055855.0,18881772.0,1785160.0,26.0,0.11227272064505782
MINNESOTA,2002,8065042.0,8716123.0,846891.0,27.0,0.23695420345157767
MISSISSIPPI,2002,3029559.0,3026111.0,492645.0,28.0,0.40803598543136255
MISSOURI,2002,7455539.0,7636924.0,906499.0,29.0,0.22133848979045812
MONTANA,2002,1168799.0,1163960.0,149995.0,30.0,1.3527666849107727
NEBRASKA,2002,2528312.0,2562812.0,285402.0,31.0,0.7064220183486238
NEVADA,2002,2592064.0,2913023.0,369498.0,32.0,0.5447678342077193
PENNSYLVANIA,2002,18586743.0,20018554.0,1816747.0,42.0,0.11031852960057748
TENNESSEE,2002,5785857.0,6363357.0,927608.0,47.0,0.21629073277398808
TEXAS,2002,32802734.0,35668486.0,4259823.0,48.0,0.047019355675121145
VERMONT,2002,1387074.0,1392880.0,99978.0,50.0,2.043357556952723
VIRGINIA,2002,9914221.0,10209197.0,1177229.0,51.0,0.17035006853995016
WASHINGTON,2002,8250593.0,8362656.0,1014798.0,53.0,0.19767060691392938
WISCONSIN,2002,8624767.0,8863966.0,881231.0,55.0,0.2276994958082593
WYOMING,2002,908719.0,868607.0,88116.0,56.0,2.324825231669647
CALIFORNIA,2003,59815855.0,59749885.0,6413867.0,6.0,0.031238965767209033
COLORADO,2003,6297242.0,6685029.0,757693.0,8.0,0.26505577683970943
CONNECTICUT,2003,6959891.0,6751815.0,577203.0,9.0,0.3482267037552156
DELAWARE,2003,1242436.0,1317447.0,117668.0,10.0,1.7317252409977089
FLORIDA,2003,19549835.0,20180142.0,2587628.0,12.0,0.07746676335508823
GEORGIA,2003,13524807.0,13516783.0,1522611.0,13.0,0.1317236263389381
HAWAII,2003,2078877.0,1602392.0,183609.0,15.0,1.1029371276279418
KANSAS,2003,4068800.0,3818740.0,470490.0,20.0,0.42754654878363757
KENTUCKY,2003,4872025.0,4700494.0,663369.0,21.0,0.3028580241500168
LOUISIANA,2003,5478321.0,5515322.0,727709.0,22.0,0.27600708826990544
MAINE,2003,2162605.0,2154117.0,202084.0,23.0,1.0010945567045346
MARYLAND,2003,8700979.0,8732518.0,869113.0,24.0,0.23099722065251238
MASSACHUSETTS,2003,11591832.0,11382398.0,980459.0,25.0,0.20471027823427934
MICHIGAN,2003,18488359.0,19680370.0,1757604.0,26.0,0.11409198331511544
MINNESOTA,2003,8484497.0,8938770.0,842854.0,27.0,0.2382110504714866
MISSISSIPPI,2003,3260771.0,3205193.0,493540.0,28.0,0.4074972992877444
MISSOURI,2003,7622601.0,7905481.0,905941.0,29.0,0.22158599372965848
MONTANA,2003,1205602.0,1214879.0,148356.0,30.0,1.3686087746749298
NEBRASKA,2003,2600831.0,2623966.0,285542.0,31.0,0.7064283925668073
NEVADA,2003,2778564.0,3009028.0,385401.0,32.0,0.5224336068524092
PENNSYLVANIA,2003,19811545.0,20626459.0,1821146.0,42.0,0.11010679204438573
TENNESSEE,2003,5994756.0,6482671.0,936682.0,47.0,0.21429817081586297
TEXAS,2003,35143236.0,37333674.0,4331751.0,48.0,0.04626135285471579
VERMONT,2003,1451171.0,1440961.0,99103.0,50.0,2.062821833161689
VIRGINIA,2003,10504167.0,10746679.0,1192092.0,51.0,0.16830674008414498
WASHINGTON,2003,8565636.0,8802387.0,1021349.0,53.0,0.19649853925948596
WISCONSIN,2003,8931497.0,9128279.0,880031.0,55.0,0.22812484339907155
WYOMING,2003,962240.0,915515.0,87462.0,56.0,2.34381399267485
CALIFORNIA,2004,60162326.0,62647953.0,6441557.0,6.0,0.031120172471598574
COLORADO,2004,6527456.0,6869975.0,765976.0,8.0,0.26231327849711766
CONNECTICUT,2004,7276945.0,7087023.0,577390.0,9.0,0.34828793192743657
DELAWARE,2004,1334523.0,1373416.0,119091.0,10.0,1.7115478234133594
FLORIDA,2004,21623923.0,21896220.0,2639336.0,12.0,0.07598588270267073
